ID,score_1,score_2,score_3,label
id_0000,0.37308619158423106,0.33093474070088247,0.5587813280612187,B
id_0001,0.4652002490092587,0.2840442377183521,0.4933251748626355,B
id_0002,0.8893713913591047,0.6614893533510203,0.8214678794973557,A
id_0003,0.9595749721361894,0.7322909785518646,0.9048792340352813,A
id_0004,0.3554653656953194,0.3021191963834592,0.3247080343436116,B
id_0005,0.5456142861526285,0.33627497712247945,0.5006743840981118,B
id_0006,0.34378325599902765,0.18292762994580578,0.5169286857006008,B
id_0007,0.8230508295164924,0.9121641978653934,0.8163118261879819,A
id_0008,0.5099624580332479,0.24167785680214726,0.2788808933963814,B
id_0009,0.43584723961022914,0.2945560963252932,0.4197823468350557,B
id_0010,0.9638966219251801,,0.7264295748896297,A
id_0011,0.7865250651314651,0.6454266698110587,0.6853102310418735,A
id_0012,0.7771808848030249,0.7020797078437611,0.7932851893880031,A
id_0013,0.2828511377977653,0.2880267198773457,0.4784997520812314,B
id_0014,0.859860857294046,0.8103709587080821,0.753412727612933,A
id_0015,0.3989716109818501,0.3323309195772194,0.3625437277187011,B
id_0016,,,0.820583750880509,A
id_0017,0.9841581799926322,0.7365943275389258,0.9488870944585263,A
id_0018,0.17673972584409595,0.2626461950754696,0.36745479383103835,B
id_0019,0.3356270008782509,0.24343536852524383,0.4014054013392258,B
id_0020,0.9951480518840538,0.7528014589695113,0.9090420051600161,A
id_0021,0.3570788238595945,0.29316542818692737,0.21651789191363657,B
id_0022,0.8713368328311504,0.8123217530225755,0.724386060830448,A
id_0023,0.8159745295287829,0.696655375834653,0.9816118125006494,A
id_0024,0.28646446756779853,0.22691708201752692,0.18941214819440821,B
id_0025,0.23897922542190644,0.2998739854207571,0.3024684319655321,B
id_0026,0.1452532364875926,0.26016521865487996,0.41107615877274456,B
id_0027,0.38398585598048446,0.3119351991460682,0.3548157555596315,B
id_0028,0.5839016780844646,0.23886261375933104,0.43764343978322684,B
id_0029,0.2624854320529202,0.23369170091192465,0.2822139330025206,B
id_0030,0.8797387331222304,0.731258446004715,0.7336662810471748,A
id_0031,0.20466996881787217,0.3264296220906079,0.46761140583372585,B
id_0032,0.4291218871862828,0.2764057242208757,0.4582595711733562,B
id_0033,0.9357451074384715,,0.9275737672672751,A
id_0034,0.3519103443209398,0.30129493329981777,0.2853399102007756,B
id_0035,0.5310225758249817,,0.4323244992211784,B
id_0036,0.916878597218901,0.7031787243528707,0.8143672637693551,A
id_0037,0.9225082220170208,0.7609802125929921,0.7946762613250272,A
id_0038,0.8438102721697739,0.7130041243553853,0.8059389605069557,A
id_0039,0.39853973035795753,0.3257917728741412,0.49651429357817833,B
id_0040,0.3743772029420151,0.24996882823797847,0.47733092108659925,B
id_0041,0.8986112160575075,0.8504045675899314,0.8362028251074096,A
id_0042,0.9137856584521007,,0.8796831994970321,A
id_0043,0.2949482100180939,0.28386423008753153,0.42647639920260866,B
id_0044,0.5080402844183939,0.2867081696769699,0.44875727556308187,B
id_0045,0.8583865149196014,0.6092301556189043,0.9210491273286687,A
id_0046,,0.8712827768233776,,A
id_0047,0.3949615346828032,0.3064650093826983,,B
id_0048,0.9094792044004855,0.7245403672641764,0.861494040100956,A
id_0049,0.24122813020717554,0.2228776429251098,0.35651742849899504,B
id_0050,0.2519888901129186,0.29703630150698207,0.5162741581528167,B
id_0051,0.8711321056697819,0.8225430337539356,0.9391864608138919,A
id_0052,0.41660635323725015,0.26328151858229865,0.2609625155150657,B
id_0053,0.9007053148212605,0.746944251798699,0.7867381367480181,A
id_0054,0.43054766160806657,0.3363958906839603,0.2888525350164628,B
id_0055,,0.26748633136096506,0.48085465125869914,B
id_0056,0.8715324073838681,0.8465810606231946,0.770766851978542,A
id_0057,0.841695000190022,0.7303200470071489,,A
id_0058,0.35414047589030234,0.3875892480381487,0.33543094832959974,B
id_0059,0.3799784821661946,0.20080753580027422,0.2989923281047077,B
id_0060,,0.6538333851234864,,A
id_0061,0.8152079268985933,0.7310654368106666,0.859169807515868,A
id_0062,0.9966003264117937,0.7312777151051157,0.6682529058598208,A
id_0063,,0.7730713040445965,0.9136685467757607,A
id_0064,0.3704633793533822,0.22393119241150045,0.48742151134306966,B
id_0065,0.46034132832601027,0.27943782688722163,0.4376799393143401,B
id_0066,0.9035635607716298,0.980232182686537,0.7778623046893459,A
id_0067,0.3429006498619942,0.2880252989592563,0.47303481711049933,B
id_0068,,0.8169582312111252,0.8978054453929768,A
id_0069,1.0,,0.8021667968726499,A
id_0070,0.3505542918874454,0.14986508656370162,0.323564618582099,B
id_0071,0.8890052054272527,0.7891503936281897,,A
id_0072,0.9754903354862272,0.8384760739215588,0.9438084623626075,A
id_0073,0.8258501644839117,0.7322371401388623,0.7679037923374764,A
id_0074,0.8645717054238933,0.9481093563114418,0.8064497824854966,A
id_0075,0.8264090329765498,0.7807999783396888,0.893972526225812,A
id_0076,0.9156838882535737,0.8455956859549871,0.7323043578910592,A
id_0077,0.8092691967157721,0.7597506179347795,0.8356169497179062,A
id_0078,0.4865133306146384,,0.469455061153073,B
id_0079,0.3602145943343869,0.3472385320666953,0.3665223879859767,B
id_0080,0.2679485036304351,0.39253999479637725,0.44185656944509394,B
id_0081,0.2244450448269179,0.35412089310152595,0.3387866581144096,B
id_0082,0.8703462306646094,0.7773657471581285,0.7215446020168207,A
id_0083,0.4666825107271522,0.2569282016591737,0.5478881898591887,B
id_0084,0.917041173067856,0.8193855670134437,0.8498820860661105,A
id_0085,1.0,0.6972856595946606,,A
id_0086,0.8261105335224354,0.8702401138028689,,A
id_0087,0.8856913071636641,0.8001905390763803,0.697822291859278,A
id_0088,0.997179026056466,0.7613692147040739,0.8386730786856296,A
id_0089,0.8550594486579723,,0.8120400252613678,A
id_0090,0.8888031425163225,0.7863735501412819,0.7888287844608091,A
id_0091,0.8306161068511239,0.8107806068360122,0.8600750210685525,A
id_0092,0.9381734639124003,0.8952855548384534,0.7310905127169731,A
id_0093,0.23271706660977332,0.26728249244791996,0.5211603501499449,B
id_0094,,0.15439226317394777,0.5468243613220932,B
id_0095,0.9197197454025736,,0.7633818251105179,A
id_0096,0.38762757245226825,0.2554344315622638,0.40894174710575587,B
id_0097,0.4211104585840616,0.30016777776419623,0.530889863039771,B
id_0098,0.8645078626552876,0.8988138642473186,0.7830909050750782,A
id_0099,0.7865985226866798,0.6124439784823759,,A
id_0100,0.3870840473900102,0.37619842932541026,0.14553171203381382,B
id_0101,0.8763812006639244,0.7020013795345538,0.8860734923152949,A
id_0102,0.8386003267924105,0.8035105379463756,0.973497899491873,A
id_0103,0.38834274748396064,0.2860105734360108,0.49785978791558483,B
id_0104,0.40284046832136966,0.2834484285455331,0.29138421144723786,B
id_0105,0.3510915035281599,0.16648912240543395,0.4353268900103182,B
id_0106,0.4248649236725733,0.30402286551105207,0.5659711582437198,B
id_0107,,0.33159626383950414,0.4220295504930753,B
id_0108,,0.3386745258382268,0.4848130952948818,B
id_0109,0.4681956316075515,0.2855238302556584,0.46955235305574183,B
id_0110,0.32633959466107415,0.41737492564529527,0.561903388787494,B
id_0111,,,0.3347797424596131,B
id_0112,0.8814916582864613,0.7503973989206711,0.8479093370569687,A
id_0113,0.7678331175737769,0.9208668593417486,0.8451263731369408,A
id_0114,0.4663687436552251,0.33950171001800383,0.3973508640304453,B
id_0115,0.5332800422967299,0.3891614318580682,,B
id_0116,0.8786871500437301,,0.7666373533974218,A
id_0117,0.5524411135793652,0.20343604941466828,0.541720749673978,B
id_0118,0.7437887456425443,0.8895701915222534,0.7885983107605175,A
id_0119,0.7019727821873155,0.80242857517682,0.8690893448628461,A
id_0120,0.8084659432476025,0.8671319270078646,0.6970061159223081,A
id_0121,,0.828015331490772,,A
id_0122,0.3496733880876969,0.3715399882788261,0.3750539015438452,B
id_0123,0.4470519602212101,0.32141912030268255,0.48560771115237444,B
id_0124,0.27972477870117474,0.3408432314967675,,B
id_0125,1.0,,0.8175277543708023,A
id_0126,0.9332968385416681,0.823929808373942,0.63117912899241,A
id_0127,0.35945162088394567,0.37017940167943786,0.3935032711659941,B
id_0128,0.23399421913948357,0.2738576959831744,0.41926221879001263,B
id_0129,0.3043091298879384,0.30743084363656026,0.33329235866636736,B
